Card   1: 24 12 26 39 19 98 74 16 82 77 | 80 11 51  1 74 60 77 68 42 35 39 78 21 12 29 19 25 98 65 91 33 17 59 24 31
Card   2: 33 21 96 64  9 38 65 74 16 91 | 14 51 85  1 64 29 74 18 15 38 13 96 16 88 84 21 95 49  9 27 33 63 65 91 90
Card   3: 31 97 18 93 71 54 24 12 19 87 | 59 96 72 94  4 51 74 84 47 10 57 89 65 37 39 16 31 91 26 85 44 30 24 40  2
Card   4: 77 20 66 48 23 32 76  9 75 89 | 31 57 89 51  8 34  9 59 39 73  4 32 18 77 94 76 29 23 41 27 66 20 40 48 75
Card   5: 25 40 65 27 41  7  1 80 26 47 |  7 25 40  1 16 67 42 34 82 19 58  9 91  6 47 80 36 46 77 27 72 41 26 33 81
Card   6: 92 39 18 64  7 71 48 29  3 38 | 55 29 73 31 15 75 13 71 94 48 78 23 54  7 10 86 34 82 91 85 67 14 57 64  3
Card   7: 67 43 34 90 14 32 38 49 11 75 | 15 11 38 30 32 29 59 73 72 42  1  4 55 71 57 64 19 90 24 78 31 67 49 98 43
Card   8: 70 64 82  4 16  6 19 13  9 29 | 21 93 37 69 24 62 60  3 90 83  8 66 20 34 55 22  6 84 99 50 33 26 65 98 86
Card   9: 31 80 67 81 28 90 23  4 48 86 | 90 80 32  8 15 13 81 63 46 45 50 47 17 96 48 28 57 98 88 86  1 34  4 87  5
Card  10: 40 46 22 70 59 97 32 20  4 65 | 22 25 59 88 30 82 39 91  4 72  9 42 86 65 96 93  5 84 67 40 57 20 36  8 80
